Input,Output
"1
A 0
0",A
"1
A 0
000000",AAAAAA
"2
A 0
B 1
01",AB
"2
A 0
B 1
0101",ABAB
"3
A 00
B 01
C 1
00011",ABC
"2
A 0
B 1
0011",AABB
"3
A 0
B 10
C 11
000101011",AAABBC
"4
E 000
H 001
L 1
O 01
0010001101",HELLO
"4
e 000
h 001
l 1
o 01
0010001101",hello
"4
H 000
e 001
l 1
o 01
0000011101",Hello
"5
1 000
2 001
3 10
4 11
5 01
000001101101",12345
"3
1 00
2 01
3 1
00000000010101011111",111122223333
"4
! 00
# 01
$ 10
@ 11
00110110",!@#$
"6
A 000
B 001
C 010
a 011
b 10
c 11
0000110011001011",AaBbCc
"3
A 0
B 11
N 10
110100100",BANANA
"4
I 00
M 011
P 010
S 1
011001100110001001000",MISSISSIPPI
"4
A 00
B 01
C 10
D 11
0001101100011011",ABCDABCD
"9
1 0000
2 0001
3 100
X 101
Y 110
Z 111
x 010
y 011
z 001
10111011101001100100000001100",XYZxyz123
"1
+ 0
0000000000",++++++++++
"2
a 0
b 1
010101010101",abababababab
"6
B 000
E 001
N 110
O 01
R 111
T 10
10010000010111111001101001000001",TOBEORNOTTOBE
"8
1 000
2 001
3 010
4 011
a 100
b 101
c 110
d 111
100000101001110010111011",a1b2c3d4
"1
Z 0
0",Z
"1
0 0
0000000000",0000000000
"5
A 000
B 001
C 10
D 11
E 01
000001101101000001101101000001101101",ABCDEABCDEABCDE
"15
B 0000
F 0001
Q 0010
T 0011
c 0100
e 0101
h 0110
i 0111
k 1000
n 1001
o 101
r 1100
u 1101
w 1110
x 1111
00110110010100101101011101001000000011001011110100100011011111",TheQuickBrownFox
"1
: 0
0000000000000000",::::::::::::::::
"4
A 00
B 1
C 010
D 011
001001010100100101000011",ABABCBABABCAD
"1
A 0
000000000000000000000000000000",AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
"26
A 10000
B 10001
C 10010
D 10011
E 00000
F 00001
G 00010
H 00011
I 00100
J 00101
K 00110
L 00111
M 01000
N 01001
O 01010
P 01011
Q 01100
R 01101
S 01110
T 01111
U 1100
V 1101
W 1110
X 1111
Y 1010
Z 1011
1000010001100101001100000000010001000011001000010100110001110100001001010100101101100011010111001111110011011110111110101011",ABCDEFGHIJKLMNOPQRSTUVWXYZ
